issue_type,location_type,duration_days,description,priority
drainage,main_road,6,"Drain clogged, water overflowing onto road. urgent",high
streetlight,main_road,14,"Streetlight not working at night, area dark. immediate attention needed",high
drainage,main_road,5,"Drain clogged, water overflowing onto road. low priority",high
streetlight,main_road,0,"Streetlight intermittent, safety concern. not urgent",low
pothole,main_road,18,Deep pothole causing vibration to vehicles. low priority,high
garbage,residential,8,"Overflowing garbage bin, foul smell. needs quick fix",high
streetlight,residential,7,"Streetlight not working at night, area dark. causing accidents",high
garbage,highway,1,Illegal dumping near drainage,low
drainage,residential,7,"Drain clogged, water overflowing onto road",high
garbage,main_road,3,Scattered trash on street after collection missed. low priority,high
garbage,highway,7,Scattered trash on street after collection missed. needs quick fix,medium
drainage,highway,0,"Open drainage cover, dangerous for pedestrians. immediate attention needed",low
garbage,main_road,7,Illegal dumping near drainage. hazardous,high
streetlight,main_road,52,"Flickering streetlight, sparks visible. urgent",high
garbage,residential,0,"Garbage dumped near sidewalk, attracting animals. urgent",low
garbage,residential,26,"Overflowing garbage bin, foul smell. low priority",high
drainage,highway,3,"Open drainage cover, dangerous for pedestrians",medium
drainage,alley,14,Sewage backup overflowing onto street. needs quick fix,high
pothole,alley,10,"Large pothole on the road, car damage likely. hazardous",high
drainage,main_road,5,"Drain clogged, water overflowing onto road. causing accidents",high
pothole,alley,9,"Pothole filled with water, hidden hazard. causing accidents",high
drainage,main_road,14,Standing water near drain after rain. needs quick fix,high
drainage,residential,3,Drainage blocked with garbage and leaves. low priority,medium
drainage,alley,2,Drainage blocked with garbage and leaves,low
garbage,main_road,7,Pile of household waste blocking pedestrian path. not urgent,high
pothole,residential,11,Multiple potholes across the lane,high
drainage,residential,10,Drainage blocked with garbage and leaves,high
garbage,alley,11,"Overflowing garbage bin, foul smell. needs quick fix",high
drainage,highway,4,"Drain clogged, water overflowing onto road",high
streetlight,alley,11,Light out on the main road intersection,high
streetlight,alley,0,Light out on the main road intersection. immediate attention needed,low
pothole,highway,5,"Pothole filled with water, hidden hazard",medium
garbage,residential,0,Scattered trash on street after collection missed,low
streetlight,highway,2,Light out on the main road intersection,high
drainage,alley,3,"Drain clogged, water overflowing onto road",high
pothole,main_road,3,Small pothole near the curb,medium
drainage,residential,8,"Open drainage cover, dangerous for pedestrians",high
drainage,highway,3,"Drain clogged, water overflowing onto road",high
garbage,alley,4,Illegal dumping near drainage. causing accidents,high
garbage,main_road,1,Pile of household waste blocking pedestrian path. please fix soon,high
garbage,residential,3,Pile of household waste blocking pedestrian path,high
pothole,highway,1,Multiple potholes across the lane,low
drainage,residential,0,"Open drainage cover, dangerous for pedestrians",low
streetlight,highway,6,"Flickering streetlight, sparks visible. immediate attention needed",high
garbage,alley,7,Scattered trash on street after collection missed,medium
streetlight,main_road,6,"Flickering streetlight, sparks visible. hazardous",high
pothole,alley,4,Multiple potholes across the lane,medium
pothole,main_road,3,Deep pothole causing vibration to vehicles. not urgent,medium
pothole,main_road,13,"Large pothole on the road, car damage likely. not urgent immediate attention needed",high
streetlight,highway,5,"Streetlight intermittent, safety concern. needs quick fix",high
pothole,highway,4,"Large pothole on the road, car damage likely. urgent",medium
pothole,highway,0,Deep pothole causing vibration to vehicles. please fix soon,low
garbage,alley,2,Scattered trash on street after collection missed,low
streetlight,residential,3,"Flickering streetlight, sparks visible",high
garbage,highway,3,Scattered trash on street after collection missed,medium
pothole,alley,6,"Pothole filled with water, hidden hazard",medium
drainage,highway,5,Sewage backup overflowing onto street. please fix soon,high
drainage,residential,6,Drainage blocked with garbage and leaves,high
garbage,alley,10,"Garbage dumped near sidewalk, attracting animals. low priority low priority",medium
pothole,residential,11,"Pothole filled with water, hidden hazard. needs quick fix",high
pothole,residential,8,"Pothole filled with water, hidden hazard",medium
garbage,highway,21,Pile of household waste blocking pedestrian path. causing accidents,high
pothole,main_road,0,"Pothole filled with water, hidden hazard",low
garbage,main_road,1,Pile of household waste blocking pedestrian path,high
drainage,main_road,0,"Open drainage cover, dangerous for pedestrians. immediate attention needed urgent",low
drainage,residential,7,Drainage blocked with garbage and leaves,high
streetlight,alley,15,"Streetlight not working at night, area dark",medium
garbage,highway,1,Scattered trash on street after collection missed,low
pothole,residential,18,"Pothole filled with water, hidden hazard",high
garbage,alley,0,"Garbage dumped near sidewalk, attracting animals. immediate attention needed",low
pothole,highway,19,Small pothole near the curb,high
pothole,residential,3,Deep pothole causing vibration to vehicles,medium
pothole,residential,0,"Large pothole on the road, car damage likely",low
garbage,alley,4,Scattered trash on street after collection missed,medium
drainage,main_road,2,"Drain clogged, water overflowing onto road. needs quick fix",high
streetlight,main_road,2,Light out on the main road intersection. please fix soon,low
drainage,highway,2,Sewage backup overflowing onto street. immediate attention needed,high
garbage,main_road,11,Pile of household waste blocking pedestrian path. not urgent low priority,high
drainage,main_road,5,"Open drainage cover, dangerous for pedestrians. hazardous",high
garbage,alley,2,Scattered trash on street after collection missed,low
drainage,highway,6,Sewage backup overflowing onto street. not urgent,high
streetlight,alley,8,Light out on the main road intersection. please fix soon,medium
drainage,alley,2,"Drain clogged, water overflowing onto road. urgent",high
streetlight,alley,3,"Flickering streetlight, sparks visible",high
garbage,residential,0,"Garbage dumped near sidewalk, attracting animals. causing accidents",high
pothole,residential,1,Multiple potholes across the lane. hazardous,high
garbage,main_road,8,"Overflowing garbage bin, foul smell. needs quick fix",high
pothole,highway,1,Multiple potholes across the lane,low
drainage,alley,5,"Open drainage cover, dangerous for pedestrians. causing accidents",high
streetlight,main_road,8,Light out on the main road intersection,medium
pothole,alley,0,"Pothole filled with water, hidden hazard. needs quick fix",low
pothole,highway,5,"Large pothole on the road, car damage likely. causing accidents needs quick fix",high
streetlight,highway,2,"Streetlight intermittent, safety concern. needs quick fix",high
garbage,residential,23,Illegal dumping near drainage. low priority hazardous,high
garbage,highway,4,Pile of household waste blocking pedestrian path,high
garbage,highway,11,Illegal dumping near drainage,high
pothole,main_road,5,"Large pothole on the road, car damage likely. hazardous needs quick fix",high
streetlight,highway,0,"Streetlight not working at night, area dark. causing accidents",high
pothole,residential,7,"Large pothole on the road, car damage likely. immediate attention needed",medium
streetlight,main_road,21,Light out on the main road intersection,medium
drainage,residential,6,"Drain clogged, water overflowing onto road",high
streetlight,alley,11,"Flickering streetlight, sparks visible",high
streetlight,main_road,15,"Streetlight not working at night, area dark. urgent",medium
drainage,main_road,1,Standing water near drain after rain,low
drainage,main_road,1,Sewage backup overflowing onto street. hazardous,high
garbage,highway,6,Illegal dumping near drainage. not urgent,medium
drainage,alley,3,Drainage blocked with garbage and leaves. please fix soon,medium
drainage,main_road,12,"Drain clogged, water overflowing onto road",high
drainage,residential,16,Sewage backup overflowing onto street,high
drainage,alley,3,"Open drainage cover, dangerous for pedestrians. not urgent",medium
drainage,highway,1,Standing water near drain after rain. immediate attention needed,low
garbage,highway,10,Scattered trash on street after collection missed,medium
streetlight,residential,2,"Flickering streetlight, sparks visible",high
pothole,highway,12,"Pothole filled with water, hidden hazard",high
pothole,highway,3,Deep pothole causing vibration to vehicles,medium
garbage,highway,7,Illegal dumping near drainage. please fix soon,medium
pothole,highway,0,Deep pothole causing vibration to vehicles. not urgent,low
garbage,alley,6,Illegal dumping near drainage. urgent,medium
drainage,main_road,4,"Open drainage cover, dangerous for pedestrians. please fix soon low priority",high
drainage,alley,6,Drainage blocked with garbage and leaves. low priority,high
streetlight,residential,1,Light out on the main road intersection,low
drainage,residential,9,"Drain clogged, water overflowing onto road",high
streetlight,highway,13,"Streetlight not working at night, area dark. causing accidents",high
drainage,highway,1,"Drain clogged, water overflowing onto road",high
garbage,highway,0,Pile of household waste blocking pedestrian path,high
drainage,alley,0,Drainage blocked with garbage and leaves,low
pothole,alley,7,"Large pothole on the road, car damage likely",medium
pothole,alley,6,Multiple potholes across the lane,medium
pothole,alley,5,Deep pothole causing vibration to vehicles,medium
drainage,main_road,1,"Drain clogged, water overflowing onto road. hazardous",high
pothole,alley,3,"Pothole filled with water, hidden hazard. low priority",medium
streetlight,main_road,6,"Streetlight intermittent, safety concern",medium
streetlight,residential,4,Light out on the main road intersection. causing accidents not urgent,high
drainage,residential,30,Sewage backup overflowing onto street. needs quick fix,high
garbage,highway,1,Scattered trash on street after collection missed. needs quick fix,low
streetlight,highway,8,"Streetlight not working at night, area dark. hazardous",high
pothole,highway,3,"Pothole filled with water, hidden hazard. hazardous",high
garbage,highway,3,Pile of household waste blocking pedestrian path. please fix soon,high
garbage,residential,8,Scattered trash on street after collection missed. hazardous,high
streetlight,highway,8,Light out on the main road intersection,high
drainage,residential,33,Drainage blocked with garbage and leaves. causing accidents please fix soon,high
pothole,main_road,0,"Pothole filled with water, hidden hazard",low
pothole,main_road,0,Deep pothole causing vibration to vehicles,low
streetlight,highway,9,Light out on the main road intersection,high
drainage,residential,6,Drainage blocked with garbage and leaves,high
garbage,main_road,2,"Overflowing garbage bin, foul smell",high
drainage,main_road,0,Standing water near drain after rain,low
drainage,highway,0,Standing water near drain after rain,low
pothole,alley,15,"Pothole filled with water, hidden hazard. needs quick fix not urgent",high
drainage,main_road,1,Sewage backup overflowing onto street. please fix soon,high
streetlight,main_road,2,Light out on the main road intersection. immediate attention needed,low
drainage,main_road,1,Sewage backup overflowing onto street. immediate attention needed,high
drainage,alley,3,"Drain clogged, water overflowing onto road. causing accidents",high
garbage,highway,0,Illegal dumping near drainage. urgent,low
streetlight,main_road,5,"Flickering streetlight, sparks visible. needs quick fix not urgent",high
pothole,residential,0,"Large pothole on the road, car damage likely. please fix soon",low
garbage,main_road,11,Scattered trash on street after collection missed,high
pothole,highway,1,Small pothole near the curb. needs quick fix,low
pothole,alley,5,Deep pothole causing vibration to vehicles. needs quick fix,medium
streetlight,highway,14,"Streetlight not working at night, area dark",high
drainage,residential,7,Standing water near drain after rain,high
streetlight,main_road,5,Pole lamp broken and leaning. not urgent immediate attention needed,medium
drainage,highway,2,"Drain clogged, water overflowing onto road",high
drainage,main_road,2,Drainage blocked with garbage and leaves. low priority,low
streetlight,alley,7,"Flickering streetlight, sparks visible",high
drainage,main_road,35,Drainage blocked with garbage and leaves,high
streetlight,residential,7,Light out on the main road intersection. not urgent,medium
pothole,alley,5,"Pothole filled with water, hidden hazard",medium
pothole,main_road,9,Multiple potholes across the lane. hazardous,high
pothole,main_road,4,"Pothole filled with water, hidden hazard",medium
pothole,main_road,0,"Pothole filled with water, hidden hazard",low
garbage,alley,5,Illegal dumping near drainage. hazardous causing accidents,high
pothole,alley,22,Multiple potholes across the lane,high
streetlight,main_road,1,Pole lamp broken and leaning,low
drainage,main_road,8,"Drain clogged, water overflowing onto road",high
drainage,residential,1,"Open drainage cover, dangerous for pedestrians. urgent",low
drainage,main_road,5,Sewage backup overflowing onto street. low priority,high
streetlight,residential,0,"Streetlight not working at night, area dark",low
streetlight,main_road,4,Light out on the main road intersection,medium
pothole,highway,9,Small pothole near the curb. please fix soon,high
pothole,highway,2,"Pothole filled with water, hidden hazard",low
drainage,alley,7,"Open drainage cover, dangerous for pedestrians. causing accidents",high
garbage,main_road,11,Pile of household waste blocking pedestrian path. not urgent,high
garbage,highway,18,Pile of household waste blocking pedestrian path. hazardous,high
drainage,main_road,1,Sewage backup overflowing onto street,high
streetlight,highway,3,Pole lamp broken and leaning. hazardous,high
drainage,highway,1,"Open drainage cover, dangerous for pedestrians. causing accidents",high
garbage,highway,34,Illegal dumping near drainage. urgent,high
garbage,alley,18,"Overflowing garbage bin, foul smell. urgent",high
pothole,main_road,5,Deep pothole causing vibration to vehicles,medium
pothole,highway,12,"Large pothole on the road, car damage likely",high
pothole,main_road,5,Deep pothole causing vibration to vehicles,medium
garbage,main_road,6,Scattered trash on street after collection missed. hazardous,high
streetlight,highway,0,"Streetlight not working at night, area dark. please fix soon",high
pothole,alley,9,Deep pothole causing vibration to vehicles. causing accidents not urgent,high
garbage,main_road,0,Scattered trash on street after collection missed,low
garbage,highway,12,Pile of household waste blocking pedestrian path. immediate attention needed,high
streetlight,residential,10,"Streetlight not working at night, area dark. immediate attention needed",medium
pothole,main_road,8,Deep pothole causing vibration to vehicles,high
drainage,alley,0,"Open drainage cover, dangerous for pedestrians",low
streetlight,residential,2,"Streetlight not working at night, area dark. needs quick fix",low
streetlight,highway,2,"Streetlight not working at night, area dark",high
drainage,residential,3,"Open drainage cover, dangerous for pedestrians. needs quick fix",medium
pothole,alley,0,Small pothole near the curb. low priority,low
drainage,alley,19,Standing water near drain after rain. not urgent,high
garbage,residential,5,"Garbage dumped near sidewalk, attracting animals",medium
drainage,alley,2,Drainage blocked with garbage and leaves,low
garbage,main_road,3,Pile of household waste blocking pedestrian path. not urgent,high
drainage,highway,4,"Open drainage cover, dangerous for pedestrians. causing accidents",high
pothole,residential,6,Multiple potholes across the lane. immediate attention needed,medium
pothole,residential,5,Small pothole near the curb,medium
drainage,residential,17,Drainage blocked with garbage and leaves. not urgent,high
drainage,highway,4,"Open drainage cover, dangerous for pedestrians. hazardous",high
pothole,alley,33,Small pothole near the curb. immediate attention needed,medium
pothole,alley,13,Multiple potholes across the lane. low priority,high
drainage,highway,1,"Open drainage cover, dangerous for pedestrians. not urgent hazardous",high
garbage,main_road,18,Illegal dumping near drainage,high
garbage,residential,0,Pile of household waste blocking pedestrian path,high
streetlight,highway,11,"Flickering streetlight, sparks visible. urgent",high
drainage,main_road,3,"Drain clogged, water overflowing onto road. not urgent",high
garbage,residential,14,Illegal dumping near drainage,high
garbage,main_road,14,Scattered trash on street after collection missed,high
drainage,main_road,11,Drainage blocked with garbage and leaves,high
drainage,highway,10,Drainage blocked with garbage and leaves,high
garbage,alley,2,"Garbage dumped near sidewalk, attracting animals. low priority",low
drainage,residential,0,"Drain clogged, water overflowing onto road. low priority",high
streetlight,highway,3,"Flickering streetlight, sparks visible. immediate attention needed urgent",high
streetlight,main_road,1,"Streetlight intermittent, safety concern. urgent",low
pothole,highway,8,Multiple potholes across the lane,high
pothole,residential,2,"Large pothole on the road, car damage likely. low priority",low
streetlight,alley,25,"Streetlight intermittent, safety concern. not urgent",medium
drainage,highway,7,Standing water near drain after rain,high
pothole,main_road,12,"Large pothole on the road, car damage likely",high
pothole,residential,0,Deep pothole causing vibration to vehicles. needs quick fix immediate attention needed,low
drainage,main_road,13,"Open drainage cover, dangerous for pedestrians",high
streetlight,alley,17,"Flickering streetlight, sparks visible. low priority",high
garbage,highway,4,Pile of household waste blocking pedestrian path. immediate attention needed,high
garbage,highway,6,"Overflowing garbage bin, foul smell. please fix soon",high
pothole,alley,10,"Large pothole on the road, car damage likely",medium
streetlight,main_road,1,"Streetlight not working at night, area dark. low priority",low
pothole,main_road,4,"Pothole filled with water, hidden hazard. needs quick fix",medium
garbage,main_road,3,"Overflowing garbage bin, foul smell",high
streetlight,residential,1,Light out on the main road intersection,low
drainage,alley,3,Standing water near drain after rain,medium
streetlight,residential,0,"Streetlight not working at night, area dark",low
streetlight,highway,0,"Streetlight intermittent, safety concern. causing accidents",high
pothole,main_road,1,"Large pothole on the road, car damage likely. hazardous",high
pothole,main_road,23,"Pothole filled with water, hidden hazard",high
streetlight,alley,5,Light out on the main road intersection,medium
garbage,highway,23,"Overflowing garbage bin, foul smell. immediate attention needed",high
garbage,alley,3,"Garbage dumped near sidewalk, attracting animals. low priority",medium
garbage,main_road,2,Pile of household waste blocking pedestrian path. needs quick fix hazardous,high
garbage,main_road,4,"Garbage dumped near sidewalk, attracting animals. urgent",high
garbage,highway,4,Scattered trash on street after collection missed,medium
drainage,highway,0,"Open drainage cover, dangerous for pedestrians",low
garbage,residential,7,Scattered trash on street after collection missed. immediate attention needed,medium
streetlight,alley,1,"Streetlight not working at night, area dark. needs quick fix",low
drainage,residential,6,"Open drainage cover, dangerous for pedestrians. not urgent",high
streetlight,residential,7,"Flickering streetlight, sparks visible. not urgent",high
drainage,alley,1,Standing water near drain after rain,low
pothole,main_road,0,"Large pothole on the road, car damage likely",low
drainage,residential,10,Standing water near drain after rain. needs quick fix,high
garbage,residential,4,"Overflowing garbage bin, foul smell",high
streetlight,highway,0,Light out on the main road intersection,high
garbage,highway,36,"Overflowing garbage bin, foul smell. causing accidents",high
drainage,alley,0,"Open drainage cover, dangerous for pedestrians. causing accidents",high
pothole,residential,8,Small pothole near the curb. please fix soon,medium
pothole,alley,28,"Pothole filled with water, hidden hazard",high
garbage,residential,1,"Overflowing garbage bin, foul smell",high
streetlight,main_road,1,"Streetlight intermittent, safety concern",low
garbage,residential,0,Pile of household waste blocking pedestrian path,high
pothole,highway,2,"Large pothole on the road, car damage likely. urgent",low
garbage,highway,0,Pile of household waste blocking pedestrian path,high
pothole,alley,8,Multiple potholes across the lane. please fix soon,medium
garbage,main_road,0,"Garbage dumped near sidewalk, attracting animals",low
pothole,main_road,4,"Pothole filled with water, hidden hazard",medium
garbage,alley,39,Pile of household waste blocking pedestrian path. low priority,high
streetlight,residential,11,Pole lamp broken and leaning. not urgent,high
pothole,alley,6,"Large pothole on the road, car damage likely. hazardous",high
streetlight,residential,2,"Flickering streetlight, sparks visible",high
drainage,alley,6,"Open drainage cover, dangerous for pedestrians",high
pothole,alley,5,Deep pothole causing vibration to vehicles,medium
drainage,alley,3,Standing water near drain after rain,medium
pothole,main_road,0,Multiple potholes across the lane. not urgent,low
streetlight,main_road,15,Pole lamp broken and leaning. immediate attention needed urgent,medium
drainage,highway,4,Sewage backup overflowing onto street,high
pothole,alley,1,"Large pothole on the road, car damage likely. needs quick fix",low
streetlight,main_road,3,"Flickering streetlight, sparks visible",high
drainage,main_road,3,Drainage blocked with garbage and leaves,medium
streetlight,highway,12,"Flickering streetlight, sparks visible",high
pothole,highway,9,"Pothole filled with water, hidden hazard. hazardous",high
streetlight,residential,10,"Flickering streetlight, sparks visible. needs quick fix",high
drainage,alley,0,"Drain clogged, water overflowing onto road. immediate attention needed",high
garbage,highway,3,"Garbage dumped near sidewalk, attracting animals",medium
streetlight,alley,4,"Flickering streetlight, sparks visible. urgent",high
pothole,highway,0,Small pothole near the curb,low
pothole,main_road,2,Multiple potholes across the lane,low
drainage,highway,9,Sewage backup overflowing onto street. hazardous,high
streetlight,highway,1,"Flickering streetlight, sparks visible. hazardous",high
drainage,residential,5,Standing water near drain after rain,high
streetlight,residential,1,Light out on the main road intersection,low
garbage,main_road,0,Scattered trash on street after collection missed. please fix soon,low
pothole,residential,1,Deep pothole causing vibration to vehicles,low
garbage,alley,26,Pile of household waste blocking pedestrian path,high
streetlight,highway,11,"Streetlight intermittent, safety concern. causing accidents",high
streetlight,highway,22,Light out on the main road intersection. urgent,high
streetlight,alley,4,Pole lamp broken and leaning,medium
streetlight,alley,0,"Streetlight not working at night, area dark. low priority",low
drainage,residential,5,"Open drainage cover, dangerous for pedestrians. low priority",high
streetlight,highway,4,"Streetlight not working at night, area dark. urgent",high
drainage,alley,13,Sewage backup overflowing onto street,high
pothole,alley,0,Small pothole near the curb,low
pothole,residential,4,Multiple potholes across the lane,medium
pothole,alley,1,"Pothole filled with water, hidden hazard. low priority",low
pothole,alley,2,"Pothole filled with water, hidden hazard. please fix soon",low
pothole,alley,9,Deep pothole causing vibration to vehicles,medium
drainage,highway,4,Standing water near drain after rain. urgent,high
streetlight,main_road,3,Light out on the main road intersection. urgent,medium
pothole,highway,3,"Pothole filled with water, hidden hazard. not urgent",medium
streetlight,residential,4,Pole lamp broken and leaning,medium
streetlight,alley,10,"Streetlight intermittent, safety concern. please fix soon",medium
garbage,alley,15,"Overflowing garbage bin, foul smell",high
pothole,highway,21,Deep pothole causing vibration to vehicles. urgent low priority,high
garbage,main_road,10,"Garbage dumped near sidewalk, attracting animals. low priority",high
pothole,highway,2,Small pothole near the curb. urgent,low
streetlight,highway,8,Pole lamp broken and leaning. not urgent,high
drainage,main_road,4,Sewage backup overflowing onto street. hazardous,high
garbage,alley,2,"Overflowing garbage bin, foul smell",high
garbage,alley,12,Scattered trash on street after collection missed. needs quick fix,high
streetlight,residential,0,"Streetlight not working at night, area dark. causing accidents",high
drainage,highway,16,"Drain clogged, water overflowing onto road. urgent",high
drainage,alley,4,Drainage blocked with garbage and leaves. immediate attention needed,high
streetlight,residential,7,Light out on the main road intersection,medium
pothole,main_road,7,Deep pothole causing vibration to vehicles,medium
garbage,main_road,15,Pile of household waste blocking pedestrian path. please fix soon,high
streetlight,highway,7,"Flickering streetlight, sparks visible. immediate attention needed",high
drainage,highway,6,Drainage blocked with garbage and leaves. urgent,high
garbage,residential,0,Scattered trash on street after collection missed. immediate attention needed,low
drainage,main_road,5,Drainage blocked with garbage and leaves,high
pothole,alley,1,Small pothole near the curb. urgent,low
garbage,main_road,9,Scattered trash on street after collection missed. hazardous,high
garbage,alley,5,"Overflowing garbage bin, foul smell",high
pothole,main_road,7,"Large pothole on the road, car damage likely. urgent",medium
drainage,highway,0,Sewage backup overflowing onto street. causing accidents,high
garbage,alley,0,Pile of household waste blocking pedestrian path. please fix soon,high
drainage,main_road,8,Standing water near drain after rain,high
streetlight,highway,0,"Streetlight not working at night, area dark. needs quick fix",high
drainage,main_road,0,Standing water near drain after rain,low
streetlight,alley,0,"Flickering streetlight, sparks visible",high
garbage,residential,21,"Overflowing garbage bin, foul smell. please fix soon",high
drainage,highway,9,Sewage backup overflowing onto street. needs quick fix,high
garbage,main_road,3,Pile of household waste blocking pedestrian path. urgent,high
streetlight,main_road,2,"Streetlight intermittent, safety concern",low
pothole,highway,3,Small pothole near the curb,medium
garbage,residential,10,Illegal dumping near drainage. needs quick fix,medium
garbage,highway,7,Scattered trash on street after collection missed. low priority,medium
garbage,highway,1,Scattered trash on street after collection missed,low
pothole,main_road,1,"Pothole filled with water, hidden hazard",low
drainage,residential,0,Drainage blocked with garbage and leaves. not urgent,low
pothole,main_road,7,"Pothole filled with water, hidden hazard",medium
garbage,main_road,10,Scattered trash on street after collection missed,high
streetlight,alley,2,"Streetlight intermittent, safety concern",low
streetlight,main_road,0,"Streetlight not working at night, area dark",low
pothole,alley,0,"Pothole filled with water, hidden hazard",low
streetlight,residential,24,"Streetlight not working at night, area dark",medium
drainage,alley,2,"Open drainage cover, dangerous for pedestrians",low
drainage,residential,10,Drainage blocked with garbage and leaves. please fix soon urgent,high
drainage,residential,6,Sewage backup overflowing onto street. needs quick fix,high
garbage,residential,3,"Overflowing garbage bin, foul smell. hazardous",high
streetlight,main_road,1,"Streetlight not working at night, area dark. causing accidents",high
garbage,highway,0,Scattered trash on street after collection missed. needs quick fix,low
drainage,alley,6,Drainage blocked with garbage and leaves. immediate attention needed,high
streetlight,residential,10,"Flickering streetlight, sparks visible",high
streetlight,main_road,7,"Flickering streetlight, sparks visible. not urgent",high
streetlight,residential,5,"Streetlight not working at night, area dark. needs quick fix",medium
garbage,alley,0,"Overflowing garbage bin, foul smell. needs quick fix",high
streetlight,alley,24,Pole lamp broken and leaning,medium
garbage,alley,11,"Overflowing garbage bin, foul smell. not urgent",high
pothole,main_road,2,Multiple potholes across the lane,low
streetlight,main_road,27,"Streetlight intermittent, safety concern",medium
streetlight,highway,6,Light out on the main road intersection. urgent,high
garbage,highway,6,"Overflowing garbage bin, foul smell. immediate attention needed",high
pothole,residential,9,Multiple potholes across the lane,medium
pothole,highway,11,Multiple potholes across the lane,high
pothole,main_road,7,Multiple potholes across the lane. needs quick fix hazardous,high
streetlight,residential,0,"Streetlight not working at night, area dark",low
drainage,highway,2,"Drain clogged, water overflowing onto road. immediate attention needed",high
drainage,main_road,18,"Drain clogged, water overflowing onto road",high
garbage,alley,1,"Overflowing garbage bin, foul smell",high
garbage,main_road,3,"Garbage dumped near sidewalk, attracting animals",high
garbage,highway,3,Pile of household waste blocking pedestrian path. urgent,high
drainage,main_road,4,Sewage backup overflowing onto street,high
garbage,alley,6,Scattered trash on street after collection missed. immediate attention needed,medium
garbage,residential,20,Scattered trash on street after collection missed. immediate attention needed,high
garbage,main_road,1,"Overflowing garbage bin, foul smell. immediate attention needed",high
pothole,residential,0,"Large pothole on the road, car damage likely",low
garbage,highway,1,Scattered trash on street after collection missed,low
garbage,residential,15,"Overflowing garbage bin, foul smell",high
drainage,residential,7,Sewage backup overflowing onto street. immediate attention needed,high
drainage,residential,2,Sewage backup overflowing onto street. hazardous,high
streetlight,alley,11,"Streetlight not working at night, area dark",high
garbage,alley,13,Illegal dumping near drainage,high
streetlight,main_road,13,Pole lamp broken and leaning,high
garbage,highway,17,"Overflowing garbage bin, foul smell. hazardous",high
pothole,alley,2,"Pothole filled with water, hidden hazard. causing accidents",high
drainage,highway,9,"Open drainage cover, dangerous for pedestrians",high
garbage,highway,4,"Overflowing garbage bin, foul smell. immediate attention needed",high
garbage,residential,12,Illegal dumping near drainage. hazardous,high
streetlight,highway,9,Light out on the main road intersection. causing accidents,high
garbage,alley,10,Scattered trash on street after collection missed. hazardous,high
drainage,highway,7,Sewage backup overflowing onto street. immediate attention needed,high
drainage,highway,1,Standing water near drain after rain,low
pothole,residential,5,Deep pothole causing vibration to vehicles,medium
garbage,main_road,29,"Garbage dumped near sidewalk, attracting animals",high
streetlight,residential,19,"Streetlight intermittent, safety concern",medium
pothole,alley,0,"Pothole filled with water, hidden hazard",low
pothole,main_road,1,Multiple potholes across the lane. immediate attention needed,low
pothole,residential,0,"Large pothole on the road, car damage likely. please fix soon",low
streetlight,alley,9,Pole lamp broken and leaning. hazardous,high
pothole,main_road,11,Multiple potholes across the lane,high
garbage,highway,1,Illegal dumping near drainage. needs quick fix,low
streetlight,highway,4,"Streetlight not working at night, area dark. please fix soon",high
pothole,main_road,12,Deep pothole causing vibration to vehicles,high
pothole,main_road,9,"Pothole filled with water, hidden hazard. urgent",high
pothole,alley,5,Multiple potholes across the lane,medium
garbage,main_road,6,Scattered trash on street after collection missed. needs quick fix,high
drainage,residential,4,Drainage blocked with garbage and leaves,high
drainage,highway,2,"Drain clogged, water overflowing onto road. causing accidents",high
garbage,highway,5,Illegal dumping near drainage,medium
garbage,main_road,8,Pile of household waste blocking pedestrian path,high
pothole,alley,14,"Large pothole on the road, car damage likely",high
streetlight,residential,7,"Flickering streetlight, sparks visible. urgent",high
pothole,highway,10,Deep pothole causing vibration to vehicles,high
pothole,highway,1,Deep pothole causing vibration to vehicles. hazardous,high
garbage,main_road,4,Scattered trash on street after collection missed. low priority,high
drainage,residential,0,"Open drainage cover, dangerous for pedestrians",low
pothole,highway,1,"Large pothole on the road, car damage likely. causing accidents",high
streetlight,main_road,9,Light out on the main road intersection,medium
streetlight,main_road,33,"Streetlight intermittent, safety concern",medium
pothole,highway,0,Small pothole near the curb,low
garbage,residential,3,"Overflowing garbage bin, foul smell. hazardous",high
drainage,residential,11,Sewage backup overflowing onto street. low priority,high
drainage,highway,1,"Open drainage cover, dangerous for pedestrians",low
garbage,highway,5,"Overflowing garbage bin, foul smell. please fix soon",high
garbage,residential,9,"Overflowing garbage bin, foul smell. not urgent",high
garbage,alley,6,Pile of household waste blocking pedestrian path. causing accidents,high
garbage,highway,1,Scattered trash on street after collection missed. low priority,low
streetlight,residential,3,"Streetlight intermittent, safety concern. urgent",medium
garbage,alley,10,"Overflowing garbage bin, foul smell",high
streetlight,alley,5,Light out on the main road intersection,medium
streetlight,main_road,0,Light out on the main road intersection,low
drainage,main_road,10,"Drain clogged, water overflowing onto road. please fix soon causing accidents",high
streetlight,residential,0,"Streetlight intermittent, safety concern. please fix soon",low
streetlight,highway,9,"Streetlight not working at night, area dark. low priority",high
drainage,alley,1,Drainage blocked with garbage and leaves. urgent,low
streetlight,alley,22,"Streetlight intermittent, safety concern. urgent",medium
pothole,residential,3,Multiple potholes across the lane,medium
garbage,main_road,2,Scattered trash on street after collection missed,low
garbage,main_road,1,"Garbage dumped near sidewalk, attracting animals. urgent",low
drainage,highway,2,"Drain clogged, water overflowing onto road. needs quick fix",high
